manufacturer;model_name;detail_name;hsn;tsn;displacement;power;year_from;year_to;engine_type;target_bucket
Audi;A6;4G (A6 3.0 TDI QUATTRO);0588;BBO;2967;200;2014;2018;Diesel;1
Audi;A6;4G (A6 AVANT / ALLROAD 3.0 TDI QUATTRO);0588;BBY;2967;200;2014;2018;Diesel;1
Audi;A6;4G (A6 3.0 TDI QUATTRO);0588;BBP;2967;235;2014;2018;Diesel;1
Audi;A6;4G (A6 AVANT / ALLROAD 3.0 TDI QUATTRO);0588;BBZ;2967;235;2014;2018;Diesel;1
Audi;A6;4G (A6 3.0 TDI QUATTRO);0588;BBQ;2967;240;2014;2018;Diesel;1
Audi;A6;4G (A6 AVANT / ALLROAD 3.0 TDI QUATTRO);0588;BCA;2967;240;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;BCB;2967;155;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI);0588;BCC;2967;155;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;BAX;2967;160;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI);0588;BAW;2967;160;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;AQH;2967;180;2010;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;BAY;2967;200;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;BAZ;2967;235;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;BBB;2967;240;2014;2018;Diesel;1
Audi;A7;4G (A7 SPORTBACK 3.0 TDI QUATTRO);0588;ATJ;2967;230;2011;2018;Diesel;1
Audi;A8;4H (A8 3.0 TDI);0588;ARJ;2967;150;2011;2018;Diesel;1
Audi;A8;4H (A8 3.0 TDI QUATTRO);0588;AQR;2967;155;2010;2018;Diesel;1
Audi;A8;4H (A8 3.0 TDI QUATTRO);0588;ALR;2967;184;2009;2018;Diesel;1
Audi;A8;4H (A8 3.0 TDI QUATTRO);0588;AYX;2967;190;2013;2018;Diesel;1
Audi;A8;4H (A8 3.0 TDI QUATTRO);0588;BEI;2967;193;2015;2018;Diesel;1
Audi;Q5;8R (Q5 3.0 TDI QUATTRO);0588;AZV;2967;184;2014;2017;Diesel;1
Audi;Q5;8R (Q5 3.0 TDI QUATTRO);0588;AZA;2967;190;2013;2017;Diesel;1
Audi;Q5;8R (SQ5 3.0 TDI QUATTRO);0588;BDV;2967;240;2015;2017;Diesel;1
Audi;Q5;8R (SQ5 3.0 TDI);0588;AWB;2967;230;2012;2016;Diesel;1
Audi;Q5;8R (SQ5 3.0 TDI QUATTRO);0588;BEY;2967;250;2015;2017;Diesel;1
Audi;Q7;4L (Q7 3.0 TDI);0588;AGU;2967;176;2007;2015;Diesel;1
Audi;Q7;4L (Q7 3.0 TDI);0588;ARQ;2967;180;2011;2015;Diesel;1
Porsche;Cayenne;92A (CAYENNE S 4.2 TDI);0583;AIB;4134;283;2014;2018;Diesel;1
Porsche;Cayenne;92A (CAYENNE 4.2 TDI);0583;AGF;4134;281;2012;2018;Diesel;1
